i,j,flux_coexact
108,584,7.251383925066708e-06
108,854,1.8007386907411605e-05
108,859,-3.105911084076557e-05
108,1002,-2.6447958605620744e-07
109,228,0.0001844374148853
109,682,2.7450469293189964e-05
109,735,-0.0001593694589853
109,862,0.0001813445836973
109,975,-0.0002338630088905
110,642,-0.0002106824668512
110,688,0.0002504445698784
110,841,-0.0003025701842833
110,961,6.168860072040882e-05
110,1039,7.084771407560635e-05
110,1047,0.0001302717664601
111,276,3.162665759411403e-05
111,473,-1.8632290833833593e-05
111,638,-3.774817158372816e-06
111,828,-4.669769604748873e-06
111,864,-1.0695363175682056e-05
111,871,6.14558317852331e-06
112,326,1.787357515868428e-05
112,454,-1.5185482543874288e-05
112,515,1.3546966146056078e-05
112,558,4.456142081958327e-07
112,743,-4.3546457029964756e-06
113,378,0.0001771978526504
113,500,4.571944758873279e-05
113,534,0.0001132940191848
113,641,-0.0002863749383513
113,655,-0.0001434894465871
114,244,-1.1162265716070507e-05
114,268,-1.630298946843608e-06
114,506,-3.8929604895008085e-05
114,954,1.9208849589134893e-05
114,988,9.275818751345498e-06
115,867,1.790923430477756e-05
115,896,-2.9130439460930073e-05
115,936,-8.832437458296441e-05
116,186,-1.3050646804869286e-05
116,514,3.611265866425097e-05
116,657,1.5550334230124952e-05
116,734,2.0695891758966357e-05
117,120,-4.3310246723883474e-05
117,230,-0.0001210477331563
117,273,3.178278944193885e-05
117,872,0.0006210660518733
117,879,-0.0003631666774064
117,949,-0.0001253241840285
118,418,-5.135310015681541e-06
118,463,-1.0730942288939715e-05
118,508,1.0529252089175896e-05
118,583,1.5890817535363265e-05
118,636,-2.297358899004612e-05
119,208,2.154916317982376e-05
119,243,-1.4035437777587246e-05
119,462,-1.9528270774390015e-05
119,571,1.3854617340163643e-05
119,716,-7.331102960488471e-06
119,871,5.491030992478331e-06
120,273,9.271002214657847e-05
120,668,1.966861359915974e-05
120,838,-9.114856921568148e-05
120,872,-6.321309418731838e-05
121,175,-0.0005390404464211
121,411,-0.0002470508768178
121,500,0.0001417564577011
121,566,0.0001562746519582
121,786,0.0002766282924074
121,1000,0.0002114319211721
122,259,4.605554971953951e-05
122,300,-0.0002106600847343
122,643,6.151217008102561e-05
122,778,1.8700738419531684e-05
122,801,7.037324105585339e-05
122,905,1.401838545835685e-05
123,141,1.0104729941222134e-05
123,224,-3.662918240502259e-05
123,414,-7.249793266450015e-05
123,634,4.729181127461211e-06
123,703,9.311861442577392e-05
123,817,1.1745895750654643e-06
124,156,7.107997272496658e-05
124,399,0.0001123398192255
124,426,-1.5261463226609972e-05
124,574,-0.0002599516658509
124,805,-2.6884050598234474e-05
124,861,0.0001186773877252
125,155,9.52396175787566e-06
125,563,6.400913839480196e-06
125,679,-2.077675605517828e-05
125,874,9.08554717788224e-06
126,139,0.0001275387455557
126,329,8.363209815131146e-05
126,448,1.6380382280541467e-05
126,618,-0.0001973044827686
127,260,3.216255416800521e-05
127,303,3.761812759651024e-06
127,548,-6.67733917182696e-05
127,562,-1.7230740117944791e-06
127,601,0.0001412722753304
127,856,-0.000115709935229
127,1021,7.00975870105119e-06
128,553,3.871748205072508e-06
128,854,8.798535409399493e-07
128,859,5.236197161625251e-06
129,144,1.013223463469256e-05
129,226,-3.469073326428022e-07
129,257,-2.0186675638414647e-05
129,387,7.479927044164843e-06
129,409,2.010389794291876e-05
129,985,-1.718247665071871e-05
130,403,4.542876298470878e-06
130,555,-0.0001702311333341
130,642,-0.0002635807075574
130,872,-0.0001389027552849
130,949,0.0002680090929039
130,1039,0.0003001626269741
131,255,-3.834454101828518e-06
131,510,-2.212037850493978e-06
131,543,-8.365634649328267e-06
131,700,1.240967543000954e-05
131,738,-3.046252302491004e-07
131,800,2.3070764018903245e-06
132,191,4.695620031788829e-06
132,393,-2.6281289413292903e-05
132,552,-7.3019847460443075e-06
132,749,1.026130043203897e-06
132,829,1.7293235066825328e-05
132,989,1.5126735923893572e-05
132,1043,-4.558446906374415e-06
133,272,1.3415399343607884e-05
133,527,-2.2320407607148775e-05
133,535,0.0002446680344858
133,598,-9.762295130123164e-05
133,654,0.0001545822695632
133,916,-0.0002927223444843
134,208,-6.4129203170601825e-06
134,334,-1.1261907542277642e-05
134,462,-1.616814033534809e-05
134,882,5.711945114258204e-05
134,991,-4.1597051588374145e-05
135,274,7.620616410814384e-06
135,880,-2.83434862768173e-06
135,891,-2.4688174431755855e-06
135,936,4.7247521606030114e-08
136,182,-2.598718894059019e-06
136,321,1.206792529671149e-05
136,399,0.000134557075125
136,624,-0.0001102948210363
137,255,0.0001353799100414
137,364,-0.0001864543176727
137,517,-0.000168845237909
137,530,-1.0728952526822876e-05
137,550,4.5352885148221926e-05
137,800,0.0001852957129189
